source_id,domain,source_type,file_path,file_name,content_md5,applicable_scenario_ids,extraction_status,source_basis,confidence,runtime_status,final_state,runtime_integration
SRC18_001,noise,PDF_REGULATION_OR_STANDARD,reference_sources/noise/中华人民共和国噪声污染防治法.pdf,中华人民共和国噪声污染防治法.pdf,03DB6311C522F9A070BA7B0114A85515,SCN_NOISE_SOURCE_BOUNDARY_CONTROL;SCN_SOCIAL_LIFE_NOISE_SOURCE,INDEXED_NOT_EXTRACTED,用户新增噪声和辐射/放射法规标准资料目录，v1.8先做可审计索引和场景承接，不做条文级自动确认。,MEDIUM,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
SRC18_002,noise,PDF_REGULATION_OR_STANDARD,reference_sources/noise/工业企业厂界环境噪声排放标准(GB 12348-2008).pdf,工业企业厂界环境噪声排放标准(GB 12348-2008).pdf,79C715AE7742005CAAACBD018116EE6F,SCN_NOISE_SOURCE_BOUNDARY_CONTROL;SCN_SOCIAL_LIFE_NOISE_SOURCE,INDEXED_NOT_EXTRACTED,用户新增噪声和辐射/放射法规标准资料目录，v1.8先做可审计索引和场景承接，不做条文级自动确认。,MEDIUM,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
SRC18_003,noise,PDF_REGULATION_OR_STANDARD,reference_sources/noise/排污许可证申请与核发技术规范工业噪声(HJ 1301-2023).pdf,排污许可证申请与核发技术规范工业噪声(HJ 1301-2023).pdf,63D66169FC096CCA56D5D746CB905B1D,SCN_NOISE_SOURCE_BOUNDARY_CONTROL;SCN_SOCIAL_LIFE_NOISE_SOURCE,INDEXED_NOT_EXTRACTED,用户新增噪声和辐射/放射法规标准资料目录，v1.8先做可审计索引和场景承接，不做条文级自动确认。,MEDIUM,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
SRC18_004,noise,PDF_REGULATION_OR_STANDARD,reference_sources/noise/社会生活环境噪声排放标准(GB 22337-2008).pdf,社会生活环境噪声排放标准(GB 22337-2008).pdf,245E033700BBB554EF96034A4FAC0A04,SCN_NOISE_SOURCE_BOUNDARY_CONTROL;SCN_SOCIAL_LIFE_NOISE_SOURCE,INDEXED_NOT_EXTRACTED,用户新增噪声和辐射/放射法规标准资料目录，v1.8先做可审计索引和场景承接，不做条文级自动确认。,MEDIUM,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
SRC18_005,radiation_device_source,PDF_REGULATION_OR_STANDARD,reference_sources/radiation/中华人民共和国放射性污染防治法.pdf,中华人民共和国放射性污染防治法.pdf,C275576066C37592F91B7AFC086F2B6E,SCN_RADIATION_DEVICE_SOURCE_SAFETY;SCN_RADIOACTIVE_SOURCE_SECURITY,INDEXED_NOT_EXTRACTED,用户新增噪声和辐射/放射法规标准资料目录，v1.8先做可审计索引和场景承接，不做条文级自动确认。,MEDIUM,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
SRC18_006,radioactive_waste,PDF_REGULATION_OR_STANDARD,reference_sources/radiation/低、中水平放射性固体废物包安全标准(GB 12711-2018代替GB 12711-1991).pdf,低、中水平放射性固体废物包安全标准(GB 12711-2018代替GB 12711-1991).pdf,297BB751502F6BA2F8E17A9A4F3B2AA5,SCN_RADIOACTIVE_WASTE_STORAGE_TRANSFER_DISPOSAL;SCN_RADIOACTIVE_SOURCE_SECURITY;SCN_NORM_RADIOACTIVITY_IN_INDUSTRIAL_RESIDUE,INDEXED_NOT_EXTRACTED,用户新增噪声和辐射/放射法规标准资料目录，v1.8先做可审计索引和场景承接，不做条文级自动确认。,MEDIUM,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
SRC18_007,radioactive_waste,PDF_REGULATION_OR_STANDARD,reference_sources/radiation/低、中水平放射性固体废物近地表处置安全规定(GB 9132-2018代替GB 9132 - 1988 GB 16933-1997).pdf,低、中水平放射性固体废物近地表处置安全规定(GB 9132-2018代替GB 9132 - 1988 GB 16933-1997).pdf,383F7365247FB33B238CC6D1302DFA4D,SCN_RADIOACTIVE_WASTE_STORAGE_TRANSFER_DISPOSAL;SCN_RADIOACTIVE_SOURCE_SECURITY;SCN_NORM_RADIOACTIVITY_IN_INDUSTRIAL_RESIDUE,INDEXED_NOT_EXTRACTED,用户新增噪声和辐射/放射法规标准资料目录，v1.8先做可审计索引和场景承接，不做条文级自动确认。,MEDIUM,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
SRC18_008,radioactive_waste,PDF_REGULATION_OR_STANDARD,reference_sources/radiation/低、中水平放射性废物固化体性能要求-水泥固化体(GB 14569.1-2011).pdf,低、中水平放射性废物固化体性能要求-水泥固化体(GB 14569.1-2011).pdf,8912BA7F4A40F14B4D67B66BC49DCBA5,SCN_RADIOACTIVE_WASTE_STORAGE_TRANSFER_DISPOSAL;SCN_RADIOACTIVE_SOURCE_SECURITY;SCN_NORM_RADIOACTIVITY_IN_INDUSTRIAL_RESIDUE,INDEXED_NOT_EXTRACTED,用户新增噪声和辐射/放射法规标准资料目录，v1.8先做可审计索引和场景承接，不做条文级自动确认。,MEDIUM,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
SRC18_009,radioactive_waste,PDF_REGULATION_OR_STANDARD,reference_sources/radiation/低、中水平放射性废物近地表处置设施的选址.pdf,低、中水平放射性废物近地表处置设施的选址.pdf,E7EC8CF2FAE74C0CCA551356BD51BBEB,SCN_RADIOACTIVE_WASTE_STORAGE_TRANSFER_DISPOSAL;SCN_RADIOACTIVE_SOURCE_SECURITY;SCN_NORM_RADIOACTIVITY_IN_INDUSTRIAL_RESIDUE,INDEXED_NOT_EXTRACTED,用户新增噪声和辐射/放射法规标准资料目录，v1.8先做可审计索引和场景承接，不做条文级自动确认。,MEDIUM,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
SRC18_010,radiation_transport,PDF_REGULATION_OR_STANDARD,reference_sources/radiation/低、中水平放射性废物高完整性容器-一交联高密度聚乙烯容器(GB36900.3-2018).pdf,低、中水平放射性废物高完整性容器-一交联高密度聚乙烯容器(GB36900.3-2018).pdf,545873FC5FE6E4E94032A6F02BB79217,SCN_RADIOACTIVE_MATERIAL_TRANSPORT,INDEXED_NOT_EXTRACTED,用户新增噪声和辐射/放射法规标准资料目录，v1.8先做可审计索引和场景承接，不做条文级自动确认。,MEDIUM,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
